era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E3,2024,0.5979130371550699,0.07071067811865475,0.0,0.0,0.0,-0.2,0.1414213562373095,0.25,0.5,0.0,0.0,0.44381424,0.589423716
E3,2024,0.03185447058276478,0.18027756377319945,0.0,0.0,0.0,0.0,0.21213203435596423,0.0,0.0,0.0,0.0,0.596709481,0.0837054998
E3,2025,1.0505306096444866,0.223606797749979,0.0,0.0,0.0,-0.1,0.4,0.25,0.0,1.0,0.0,0.468150274,0.0639269352
E3,2023,0.0,0.1118033988749895,0.25,0.5,0.0,0.1,0.1118033988749895,0.25,0.5,0.0,0.1,0.382331175,0.652520835
E3,2025,0.0,0.2692582403567252,0.0,0.25,0.0,-0.1,0.2692582403567252,0.0,0.25,0.0,-0.1,0.460561363,0.198039785
E3,2024,1.0674853087754206,0.1118033988749895,0.0,0.0,0.0,-0.1,0.4716990566028302,0.0,0.0,1.0,-0.2,0.268439691,0.196190298
E3,2022,0.0,0.18027756377319945,0.25,0.25,0.0,-0.2,0.18027756377319945,0.25,0.25,0.0,-0.2,0.491454128,0.806058824
E3,2022,0.0,0.05,0.25,0.0,1.0,-0.2,0.05,0.25,0.0,1.0,-0.2,0.272787723,0.97988826
E3,2026,0.011474763394014764,0.21213203435596423,0.0,0.0,0.0,-0.1,0.223606797749979,0.0,0.0,0.0,-0.1,0.432017049,0.0781114176
E3,2023,0.39387729082164935,0.05,0.25,0.0,0.0,-0.1,0.223606797749979,0.0,0.25,0.0,-0.1,0.725971381,0.397736609
E3,2025,0.4163626596805591,0.1414213562373095,0.0,0.0,0.0,-0.1,0.05,0.25,0.25,0.0,0.1,0.465748397,0.39063412
E3,2022,0.6272294084846789,0.5408326913195984,0.0,0.0,0.0,-0.3,0.05,0.25,0.0,0.0,0.0,0.44228303,0.250646263
E3,2023,0.0,0.15811388300841897,0.25,0.0,0.0,0.0,0.15811388300841897,0.25,0.0,0.0,0.0,0.407520572,0.858143032
E3,2024,0.7170338044450736,0.1118033988749895,0.0,0.5,0.0,0.0,0.5852349955359812,0.0,0.0,0.0,-0.2,0.539684329,0.0185203999
E3,2026,0.0,0.1,0.0,0.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.473531015,0.997670949
E3,2022,0.538645820762588,0.1,0.0,0.5,0.0,0.0,0.1118033988749895,0.0,0.0,0.0,0.2,0.439483482,0.824236929
E3,2023,0.3355083234399324,0.21213203435596423,0.25,0.0,0.0,0.0,0.1118033988749895,0.25,0.25,0.0,-0.2,0.585992522,0.424138337
E3,2022,0.0,0.15811388300841897,0.5,0.0,0.0,-0.1,0.15811388300841897,0.5,0.0,0.0,-0.1,0.711871797,0.69987309
E3,2022,1.0053340743877184,0.223606797749979,0.25,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.1,0.458895597,0.659411907
E3,2022,0.0,0.05,0.5,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.0,0.48152172,0.850899994
E3,2023,0.3589145582342698,0.05,0.25,0.0,0.0,0.1,0.1118033988749895,0.0,0.25,0.0,0.1,0.231642768,0.133161232
E3,2023,0.6510169580676399,0.1118033988749895,0.5,0.0,0.0,0.0,0.4301162633521313,0.0,0.25,0.0,-0.1,0.325707953,0.395139635
E3,2024,1.1458871152517636,0.223606797749979,0.0,0.0,1.0,-0.1,0.2,0.25,0.5,0.0,-0.1,0.277621216,0.10991288
E3,2023,0.0,0.15811388300841897,0.25,0.0,0.0,0.1,0.15811388300841897,0.25,0.0,0.0,0.1,0.452645741,0.961921871
E3,2026,0.0,0.18027756377319945,0.25,0.0,0.0,0.0,0.18027756377319945,0.25,0.0,0.0,0.0,0.524264698,0.75266546
E3,2024,0.3674234614174767,0.5700877125495689,0.0,0.0,0.0,0.1,0.5700877125495689,0.25,0.25,0.0,0.0,0.584678979,0.455619931
